date,open,high,low,close,adjclose,volume,ticker
2018-03-05,241.6666717529297,242.96665954589844,232.01666259765625,236.78334045410156,233.8824462890625,2724,GMMPFAUDLR.NS
2018-03-06,237.0,240.0,233.3333282470703,237.61666870117188,234.70558166503906,3465,GMMPFAUDLR.NS
2018-03-07,225.0,231.6666717529297,191.6666717529297,225.56666564941406,222.80320739746094,14940,GMMPFAUDLR.NS
2018-03-08,225.0,244.6666717529297,220.3333282470703,236.60000610351562,233.7013397216797,4005,GMMPFAUDLR.NS
2018-03-09,229.5,236.0,223.38333129882812,234.06666564941406,231.1990509033203,7176,GMMPFAUDLR.NS
2018-03-12,231.6666717529297,234.6666717529297,226.6666717529297,234.3000030517578,231.42953491210938,13239,GMMPFAUDLR.NS
2018-03-13,236.6666717529297,236.6666717529297,228.39999389648438,234.53334045410156,231.66000366210938,1272,GMMPFAUDLR.NS
2018-03-14,236.6666717529297,248.0,230.0,240.98333740234375,238.03097534179688,11343,GMMPFAUDLR.NS
2018-03-15,236.36666870117188,246.6666717529297,235.01666259765625,242.68333435058594,239.71014404296875,4596,GMMPFAUDLR.NS
2018-03-16,243.3333282470703,243.6666717529297,232.5,233.3333282470703,230.47471618652344,5640,GMMPFAUDLR.NS
2018-03-19,236.6666717529297,240.0,229.1666717529297,229.1999969482422,226.39199829101562,3876,GMMPFAUDLR.NS
2018-03-20,229.1666717529297,242.96665954589844,223.5,228.88333129882812,226.0792236328125,12051,GMMPFAUDLR.NS
2018-03-21,233.3333282470703,235.64999389648438,227.6666717529297,229.93333435058594,227.11634826660156,3048,GMMPFAUDLR.NS
2018-03-22,229.6666717529297,231.6666717529297,225.43333435058594,225.5,222.73733520507812,3786,GMMPFAUDLR.NS
2018-03-23,220.0,231.6666717529297,218.6666717529297,219.5500030517578,216.86024475097656,21087,GMMPFAUDLR.NS
2018-03-26,226.13333129882812,233.3333282470703,220.0,228.3000030517578,225.5030517578125,11001,GMMPFAUDLR.NS
2018-03-27,228.3333282470703,233.25,228.3333282470703,228.81666564941406,226.0133819580078,4242,GMMPFAUDLR.NS
2018-03-28,231.63333129882812,240.0,228.3333282470703,228.39999389648438,225.601806640625,3513,GMMPFAUDLR.NS
2018-04-02,232.6666717529297,243.3333282470703,229.3333282470703,239.18333435058594,236.2530059814453,24519,GMMPFAUDLR.NS
2018-04-03,234.86666870117188,243.0,234.86666870117188,237.76666259765625,234.85372924804688,3213,GMMPFAUDLR.NS
2018-04-04,240.0,240.0,234.01666259765625,235.78334045410156,232.89468383789062,1287,GMMPFAUDLR.NS
2018-04-05,238.3333282470703,243.3000030517578,233.3333282470703,238.78334045410156,235.85792541503906,4290,GMMPFAUDLR.NS
2018-04-06,239.6666717529297,243.0,238.6666717529297,242.5833282470703,239.61135864257812,3609,GMMPFAUDLR.NS
